"series_id","method_id","forecast","horizon","timestamp","origin_timestamp"
"O1","NAIVE2",4542.51,1,97,96
"O1","NAIVE2",4542.51,2,98,96
"O1","NAIVE2",4542.51,3,99,96
"O1","NAIVE2",4542.51,4,100,96
"O1","NAIVE2",4542.51,5,101,96
"O1","NAIVE2",4542.51,6,102,96
"O1","NAIVE2",4542.51,7,103,96
"O1","NAIVE2",4542.51,8,104,96
"O1","SINGLE",4542.51,1,97,96
"O1","SINGLE",4542.51,2,98,96
"O1","SINGLE",4542.51,3,99,96
"O1","SINGLE",4542.51,4,100,96
"O1","SINGLE",4542.51,5,101,96
"O1","SINGLE",4542.51,6,102,96
"O1","SINGLE",4542.51,7,103,96
"O1","SINGLE",4542.51,8,104,96
"O1","HOLT",4558.64,1,97,96
"O1","HOLT",4574.76,2,98,96
"O1","HOLT",4590.88,3,99,96
"O1","HOLT",4607,4,100,96
"O1","HOLT",4623.12,5,101,96
"O1","HOLT",4639.24,6,102,96
"O1","HOLT",4655.36,7,103,96
"O1","HOLT",4671.49,8,104,96
"O1","DAMPEN",4541.33,1,97,96
"O1","DAMPEN",4541.04,2,98,96
"O1","DAMPEN",4540.96,3,99,96
"O1","DAMPEN",4540.94,4,100,96
"O1","DAMPEN",4540.94,5,101,96
"O1","DAMPEN",4540.94,6,102,96
"O1","DAMPEN",4540.94,7,103,96
"O1","DAMPEN",4540.94,8,104,96
"O1","WINTER",4558.64,1,97,96
"O1","WINTER",4574.76,2,98,96
"O1","WINTER",4590.88,3,99,96
"O1","WINTER",4607,4,100,96
"O1","WINTER",4623.12,5,101,96
"O1","WINTER",4639.24,6,102,96
"O1","WINTER",4655.36,7,103,96
"O1","WINTER",4671.49,8,104,96
"O1","COMB S-H-D",4547.49,1,96,96
"O1","COMB S-H-D",4552.77,2,97,96
"O1","COMB S-H-D",4558.12,3,98,96
"O1","COMB S-H-D",4563.48,4,99,96
"O1","COMB S-H-D",4568.86,5,100,96
"O1","COMB S-H-D",4574.23,6,101,96
"O1","COMB S-H-D",4579.6,7,102,96
"O1","COMB S-H-D",4584.98,8,103,96
"O1","B-J auto",4540.07,1,97,96
"O1","B-J auto",4540.07,2,98,96
"O1","B-J auto",4540.07,3,99,96
"O1","B-J auto",4540.07,4,100,96
"O1","B-J auto",4540.07,5,101,96
"O1","B-J auto",4540.07,6,102,96
"O1","B-J auto",4540.07,7,103,96
"O1","B-J auto",4540.07,8,104,96
"O1","AutoBox1",4541.6,1,96,96
"O1","AutoBox1",4534.08,2,97,96
"O1","AutoBox1",4527.75,3,98,96
"O1","AutoBox1",4522.41,4,99,96
"O1","AutoBox1",4517.91,5,100,96
"O1","AutoBox1",4514.13,6,101,96
"O1","AutoBox1",4510.94,7,102,96
"O1","AutoBox1",4508.25,8,103,96
"O1","AutoBox2",4541.54,1,96,96
"O1","AutoBox2",4541.34,2,97,96
"O1","AutoBox2",4541.3,3,98,96
"O1","AutoBox2",4541.29,4,99,96
"O1","AutoBox2",4541.29,5,100,96
"O1","AutoBox2",4541.29,6,101,96
"O1","AutoBox2",4541.29,7,102,96
"O1","AutoBox2",4541.29,8,103,96
"O1","AutoBox3",4512.15,1,97,96
"O1","AutoBox3",4482.57,2,98,96
"O1","AutoBox3",4461,3,99,96
"O1","AutoBox3",4442.92,4,100,96
"O1","AutoBox3",4424.1,5,101,96
"O1","AutoBox3",4403.87,6,102,96
"O1","AutoBox3",4383.22,7,103,96
"O1","AutoBox3",4362.79,8,104,96
"O1","ROBUST-Trend",4536.52,1,96,96
"O1","ROBUST-Trend",4530.53,2,97,96
"O1","ROBUST-Trend",4524.53,3,98,96
"O1","ROBUST-Trend",4518.54,4,99,96
"O1","ROBUST-Trend",4512.55,5,100,96
"O1","ROBUST-Trend",4506.56,6,101,96
"O1","ROBUST-Trend",4500.56,7,102,96
"O1","ROBUST-Trend",4494.57,8,103,96
"O1","ARARMA",4553.39,1,97,96
"O1","ARARMA",4567.95,2,98,96
"O1","ARARMA",4583.42,3,99,96
"O1","ARARMA",4599.15,4,100,96
"O1","ARARMA",4614.97,5,101,96
"O1","ARARMA",4630.86,6,102,96
"O1","ARARMA",4646.81,7,103,96
"O1","ARARMA",4662.81,8,104,96
"O1","Auto-ANN",4519.21,1,96,96
"O1","Auto-ANN",4495.82,2,97,96
"O1","Auto-ANN",4476.03,3,98,96
"O1","Auto-ANN",4459.89,4,99,96
"O1","Auto-ANN",4446.79,5,100,96
"O1","Auto-ANN",4436.12,6,101,96
"O1","Auto-ANN",4427.36,7,102,96
"O1","Auto-ANN",4420.12,8,103,96
"O1","Flors-Pearc1",4541.19,1,96,96
"O1","Flors-Pearc1",4541.19,2,97,96
"O1","Flors-Pearc1",4541.19,3,98,96
"O1","Flors-Pearc1",4541.19,4,99,96
"O1","Flors-Pearc1",4541.19,5,100,96
"O1","Flors-Pearc1",4541.19,6,101,96
"O1","Flors-Pearc1",4541.19,7,102,96
"O1","Flors-Pearc1",4541.19,8,103,96
"O1","Flors-Pearc2",4351.4,1,96,96
"O1","Flors-Pearc2",4351.4,2,97,96
"O1","Flors-Pearc2",4351.4,3,98,96
"O1","Flors-Pearc2",4351.4,4,99,96
"O1","Flors-Pearc2",4351.4,5,100,96
"O1","Flors-Pearc2",4351.4,6,101,96
"O1","Flors-Pearc2",4351.4,7,102,96
"O1","Flors-Pearc2",4351.4,8,103,96
"O1","PP-Autocast",4541.33,1,95,96
"O1","PP-Autocast",4541.03,2,96,96
"O1","PP-Autocast",4540.95,3,97,96
"O1","PP-Autocast",4540.94,4,98,96
"O1","PP-Autocast",4540.93,5,99,96
"O1","PP-Autocast",4540.93,6,100,96
"O1","PP-Autocast",4540.93,7,101,96
"O1","PP-Autocast",4540.93,8,102,96
"O1","ForecastPro",4542.51,1,97,96
"O1","ForecastPro",4542.51,2,98,96
"O1","ForecastPro",4542.51,3,99,96
"O1","ForecastPro",4542.51,4,100,96
"O1","ForecastPro",4542.51,5,101,96
"O1","ForecastPro",4542.51,6,102,96
"O1","ForecastPro",4542.51,7,103,96
"O1","ForecastPro",4542.51,8,104,96
"O1","SMARTFCS",4542.61,1,96,96
"O1","SMARTFCS",4542.61,2,97,96
"O1","SMARTFCS",4542.61,3,98,96
"O1","SMARTFCS",4542.61,4,99,96
"O1","SMARTFCS",4542.61,5,100,96
"O1","SMARTFCS",4542.61,6,101,96
"O1","SMARTFCS",4542.61,7,102,96
"O1","SMARTFCS",4542.61,8,103,96
"O1","THETAsm",4327.82,1,97,96
"O1","THETAsm",4328.36,2,98,96
"O1","THETAsm",4328.44,3,99,96
"O1","THETAsm",4328.45,4,100,96
"O1","THETAsm",4328.46,5,101,96
"O1","THETAsm",4328.46,6,102,96
"O1","THETAsm",4328.46,7,103,96
"O1","THETAsm",4328.46,8,104,96
"O1","THETA",4547.96,1,96,96
"O1","THETA",4555.03,2,97,96
"O1","THETA",4562.67,3,98,96
"O1","THETA",4570.48,4,99,96
"O1","THETA",4578.34,5,100,96
"O1","THETA",4586.18,6,101,96
"O1","THETA",4594,7,102,96
"O1","THETA",4601.78,8,103,96
"O1","RBF",4565.63,1,97,96
"O1","RBF",4579.79,2,98,96
"O1","RBF",4595.46,3,99,96
"O1","RBF",4612.43,4,100,96
"O1","RBF",4630.52,5,101,96
"O1","RBF",4649.55,6,102,96
"O1","RBF",4669.34,7,103,96
"O1","RBF",4689.72,8,104,96
"O1","ForcX",4541.74,1,97,96
"O1","ForcX",4541.62,2,98,96
"O1","ForcX",4541.6,3,99,96
"O1","ForcX",4541.59,4,100,96
"O1","ForcX",4541.59,5,101,96
"O1","ForcX",4541.59,6,102,96
"O1","ForcX",4541.59,7,103,96
"O1","ForcX",4541.59,8,104,96
"O2","NAIVE2",7059.1,1,72,96
"O2","NAIVE2",7059.1,2,73,96
"O2","NAIVE2",7059.1,3,74,96
"O2","NAIVE2",7059.1,4,75,96
"O2","NAIVE2",7059.1,5,76,96
"O2","NAIVE2",7059.1,6,77,96
"O2","NAIVE2",7059.1,7,78,96
"O2","NAIVE2",7059.1,8,79,96
"O2","SINGLE",7071.71,1,71,96
"O2","SINGLE",7071.71,2,72,96
"O2","SINGLE",7071.71,3,73,96
"O2","SINGLE",7071.71,4,74,96
"O2","SINGLE",7071.71,5,75,96
"O2","SINGLE",7071.71,6,76,96
"O2","SINGLE",7071.71,7,77,96
"O2","SINGLE",7071.71,8,78,96
"O2","HOLT",7095.83,1,70,96
"O2","HOLT",7116.63,2,71,96
"O2","HOLT",7137.43,3,72,96
"O2","HOLT",7158.23,4,73,96
"O2","HOLT",7179.03,5,74,96
"O2","HOLT",7199.83,6,75,96
"O2","HOLT",7220.63,7,76,96
"O2","HOLT",7241.43,8,77,96
"O2","DAMPEN",7057.2,1,71,96
"O2","DAMPEN",7057.2,2,72,96
"O2","DAMPEN",7057.2,3,73,96
"O2","DAMPEN",7057.2,4,74,96
"O2","DAMPEN",7057.2,5,75,96
"O2","DAMPEN",7057.2,6,76,96
"O2","DAMPEN",7057.2,7,77,96
"O2","DAMPEN",7057.2,8,78,96
"O2","WINTER",7095.83,1,85,96
"O2","WINTER",7116.63,2,86,96
"O2","WINTER",7137.43,3,87,96
"O2","WINTER",7158.23,4,88,96
"O2","WINTER",7179.03,5,89,96
"O2","WINTER",7199.83,6,90,96
"O2","WINTER",7220.63,7,91,96
"O2","WINTER",7241.43,8,92,96
"O2","COMB S-H-D",7074.91,1,84,96
"O2","COMB S-H-D",7081.85,2,85,96
"O2","COMB S-H-D",7088.78,3,86,96
"O2","COMB S-H-D",7095.71,4,87,96
"O2","COMB S-H-D",7102.65,5,88,96
"O2","COMB S-H-D",7109.58,6,89,96
"O2","COMB S-H-D",7116.51,7,90,96
"O2","COMB S-H-D",7123.45,8,91,96
"O2","B-J auto",6726.09,1,83,96
"O2","B-J auto",6685.79,2,84,96
"O2","B-J auto",6685.79,3,85,96
"O2","B-J auto",6685.79,4,86,96
"O2","B-J auto",6685.79,5,87,96
"O2","B-J auto",6685.79,6,88,96
"O2","B-J auto",6685.79,7,89,96
"O2","B-J auto",6685.79,8,90,96
"O2","AutoBox1",6912.89,1,72,96
"O2","AutoBox1",6827.33,2,73,96
