"series_id","category","value","timestamp"
"Q1","MICRO",3142.63,"1984-Q1"
"Q1","MICRO",3190.75,"1984-Q2"
"Q1","MICRO",3178.69,"1984-Q3"
"Q1","MICRO",3170.94,"1984-Q4"
"Q1","MICRO",3124.38,"1985-Q1"
"Q1","MICRO",3170,"1985-Q2"
"Q1","MICRO",3200.94,"1985-Q3"
"Q1","MICRO",3176.75,"1985-Q4"
"Q1","MICRO",3170.44,"1986-Q1"
"Q1","MICRO",3268.67,"1986-Q2"
"Q1","MICRO",3198.25,"1986-Q3"
"Q1","MICRO",3383.35,"1986-Q4"
"Q1","MICRO",3389.78,"1987-Q1"
"Q1","MICRO",3368.6,"1987-Q2"
"Q1","MICRO",3383.7,"1987-Q3"
"Q1","MICRO",4950.95,"1987-Q4"
"Q1","MICRO",5086.1,"1988-Q1"
"Q1","MICRO",5203.95,"1988-Q2"
"Q1","MICRO",5302.75,"1988-Q3"
"Q1","MICRO",5268.75,"1988-Q4"
"Q1","MICRO",5406.85,"1989-Q1"
"Q1","MICRO",5472.5,"1989-Q2"
"Q1","MICRO",5656.4,"1989-Q3"
"Q1","MICRO",5770.3,"1989-Q4"
"Q1","MICRO",5677.2,"1990-Q1"
"Q1","MICRO",5725.85,"1990-Q2"
"Q1","MICRO",5742,"1990-Q3"
"Q1","MICRO",5706.6,"1990-Q4"
"Q1","MICRO",5591.95,"1991-Q1"
"Q1","MICRO",5605.15,"1991-Q2"
"Q1","MICRO",5630,"1991-Q3"
"Q1","MICRO",5589.2,"1991-Q4"
"Q1","MICRO",5551.25,"1992-Q1"
"Q1","MICRO",5592.15,"1992-Q2"
"Q1","MICRO",5481.6,"1992-Q3"
"Q1","MICRO",5511.55,"1992-Q4"
"Q1","MICRO",5531.5,"1993-Q1"
"Q1","MICRO",5670.6,"1993-Q2"
"Q1","MICRO",5730,"1993-Q3"
"Q1","MICRO",5798.45,"1993-Q4"
"Q1","MICRO",5809.05,"1994-Q1"
"Q1","MICRO",5707.05,"1994-Q2"
"Q1","MICRO",5661.75,"1994-Q3"
"Q1","MICRO",6176.6,"1994-Q4"
"Q2","MICRO",1522,"1984-Q1"
"Q2","MICRO",1537.8,"1984-Q2"
"Q2","MICRO",1602.6,"1984-Q3"
"Q2","MICRO",1697,"1984-Q4"
"Q2","MICRO",1718.8,"1985-Q1"
"Q2","MICRO",1746.6,"1985-Q2"
"Q2","MICRO",1787.2,"1985-Q3"
"Q2","MICRO",1849.2,"1985-Q4"
"Q2","MICRO",2032.6,"1986-Q1"
"Q2","MICRO",2084.8,"1986-Q2"
"Q2","MICRO",2163,"1986-Q3"
"Q2","MICRO",2213.6,"1986-Q4"
"Q2","MICRO",2298.2,"1987-Q1"
"Q2","MICRO",2314.2,"1987-Q2"
"Q2","MICRO",2440.8,"1987-Q3"
"Q2","MICRO",2513.2,"1987-Q4"
"Q2","MICRO",2492.6,"1988-Q1"
"Q2","MICRO",2569.4,"1988-Q2"
"Q2","MICRO",2573.6,"1988-Q3"
"Q2","MICRO",2521.6,"1988-Q4"
"Q2","MICRO",2598.6,"1989-Q1"
"Q2","MICRO",2579.4,"1989-Q2"
"Q2","MICRO",2580.8,"1989-Q3"
"Q2","MICRO",2655.6,"1989-Q4"
"Q2","MICRO",2758.2,"1990-Q1"
"Q2","MICRO",2778.8,"1990-Q2"
"Q2","MICRO",2801.6,"1990-Q3"
"Q2","MICRO",2918.2,"1990-Q4"
"Q2","MICRO",3014.6,"1991-Q1"
"Q2","MICRO",3039.8,"1991-Q2"
"Q2","MICRO",3223.6,"1991-Q3"
"Q2","MICRO",3156.8,"1991-Q4"
"Q2","MICRO",3342.2,"1992-Q1"
"Q2","MICRO",3404.4,"1992-Q2"
"Q2","MICRO",3638.4,"1992-Q3"
"Q2","MICRO",3629.4,"1992-Q4"
"Q2","MICRO",3799.2,"1993-Q1"
"Q2","MICRO",3972.6,"1993-Q2"
"Q2","MICRO",4078.2,"1993-Q3"
"Q2","MICRO",4090,"1993-Q4"
"Q2","MICRO",4240.2,"1994-Q1"
"Q2","MICRO",4320.8,"1994-Q2"
"Q2","MICRO",4268.4,"1994-Q3"
"Q2","MICRO",4292.6,"1994-Q4"
"Q3","MICRO",1549.72,"1983-Q3"
"Q3","MICRO",1615.08,"1983-Q4"
"Q3","MICRO",1620.33,"1984-Q1"
"Q3","MICRO",1634.41,"1984-Q2"
"Q3","MICRO",1675.18,"1984-Q3"
"Q3","MICRO",1675.56,"1984-Q4"
"Q3","MICRO",1758.63,"1985-Q1"
"Q3","MICRO",1813.42,"1985-Q2"
"Q3","MICRO",1781.78,"1985-Q3"
"Q3","MICRO",1777.58,"1985-Q4"
"Q3","MICRO",1861.23,"1986-Q1"
"Q3","MICRO",1892.73,"1986-Q2"
"Q3","MICRO",1855.28,"1986-Q3"
"Q3","MICRO",2476.07,"1986-Q4"
"Q3","MICRO",2557.42,"1987-Q1"
"Q3","MICRO",2671.19,"1987-Q2"
"Q3","MICRO",2676.97,"1987-Q3"
"Q3","MICRO",2701.72,"1987-Q4"
"Q3","MICRO",2804.13,"1988-Q1"
"Q3","MICRO",2874.18,"1988-Q2"
"Q3","MICRO",2888.41,"1988-Q3"
"Q3","MICRO",2908.03,"1988-Q4"
"Q3","MICRO",3045.86,"1989-Q1"
"Q3","MICRO",3241.99,"1989-Q2"
"Q3","MICRO",3329.31,"1989-Q3"
"Q3","MICRO",3276.79,"1989-Q4"
"Q3","MICRO",3516.1,"1990-Q1"
"Q3","MICRO",3613.5,"1990-Q2"
"Q3","MICRO",3619.21,"1990-Q3"
"Q3","MICRO",3663.33,"1990-Q4"
"Q3","MICRO",3891.86,"1991-Q1"
"Q3","MICRO",4205.34,"1991-Q2"
"Q3","MICRO",4235.5,"1991-Q3"
"Q3","MICRO",4541.31,"1991-Q4"
"Q3","MICRO",4863.54,"1992-Q1"
"Q3","MICRO",5080.75,"1992-Q2"
"Q3","MICRO",5326.9,"1992-Q3"
"Q3","MICRO",5383.65,"1992-Q4"
"Q3","MICRO",5405.5,"1993-Q1"
"Q3","MICRO",5935.5,"1993-Q2"
