"series_id","method_id","forecast","horizon","timestamp","origin_timestamp"
"Y1","NAIVE2",4936.99,1,1989,1988
"Y1","NAIVE2",4936.99,2,1990,1988
"Y1","NAIVE2",4936.99,3,1991,1988
"Y1","NAIVE2",4936.99,4,1992,1988
"Y1","NAIVE2",4936.99,5,1993,1988
"Y1","NAIVE2",4936.99,6,1994,1988
"Y1","SINGLE",4936.99,1,1989,1988
"Y1","SINGLE",4936.99,2,1990,1988
"Y1","SINGLE",4936.99,3,1991,1988
"Y1","SINGLE",4936.99,4,1992,1988
"Y1","SINGLE",4936.99,5,1993,1988
"Y1","SINGLE",4936.99,6,1994,1988
"Y1","HOLT",5406.43,1,1989,1988
"Y1","HOLT",5875.96,2,1990,1988
"Y1","HOLT",6345.48,3,1991,1988
"Y1","HOLT",6815,4,1992,1988
"Y1","HOLT",7284.53,5,1993,1988
"Y1","HOLT",7754.05,6,1994,1988
"Y1","DAMPEN",5473.87,1,1989,1988
"Y1","DAMPEN",6010.43,2,1990,1988
"Y1","DAMPEN",6546.63,3,1991,1988
"Y1","DAMPEN",7082.48,4,1992,1988
"Y1","DAMPEN",7617.99,5,1993,1988
"Y1","DAMPEN",8153.15,6,1994,1988
"Y1","WINTER",5406.43,1,1989,1988
"Y1","WINTER",5875.96,2,1990,1988
"Y1","WINTER",6345.48,3,1991,1988
"Y1","WINTER",6815,4,1992,1988
"Y1","WINTER",7284.53,5,1993,1988
"Y1","WINTER",7754.05,6,1994,1988
"Y1","COMB S-H-D",5272.43,1,1989,1988
"Y1","COMB S-H-D",5607.79,2,1990,1988
"Y1","COMB S-H-D",5943.03,3,1991,1988
"Y1","COMB S-H-D",6278.16,4,1992,1988
"Y1","COMB S-H-D",6613.17,5,1993,1988
"Y1","COMB S-H-D",6948.06,6,1994,1988
"Y1","B-J auto",5486.1,1,1989,1988
"Y1","B-J auto",6035.21,2,1990,1988
"Y1","B-J auto",6584.32,3,1991,1988
"Y1","B-J auto",7133.43,4,1992,1988
"Y1","B-J auto",7682.54,5,1993,1988
"Y1","B-J auto",8231.65,6,1994,1988
"Y1","AutoBox1",5442.92,1,1989,1988
"Y1","AutoBox1",5969.23,2,1990,1988
"Y1","AutoBox1",6495.55,3,1991,1988
"Y1","AutoBox1",7021.87,4,1992,1988
"Y1","AutoBox1",7548.18,5,1993,1988
"Y1","AutoBox1",8074.5,6,1994,1988
"Y1","AutoBox2",4930.25,1,1989,1988
"Y1","AutoBox2",5479.36,2,1990,1988
"Y1","AutoBox2",5472.61,3,1991,1988
"Y1","AutoBox2",6021.72,4,1992,1988
"Y1","AutoBox2",6014.98,5,1993,1988
"Y1","AutoBox2",6564.09,6,1994,1988
"Y1","AutoBox3",5168.32,1,1989,1988
"Y1","AutoBox3",5569.49,2,1990,1988
"Y1","AutoBox3",5970.65,3,1991,1988
"Y1","AutoBox3",6371.82,4,1992,1988
"Y1","AutoBox3",6772.99,5,1993,1988
"Y1","AutoBox3",7174.16,6,1994,1988
