"series_id","category","value","timestamp"
"Y1","MICRO",940.66,"1975"
"Y1","MICRO",1084.86,"1976"
"Y1","MICRO",1244.98,"1977"
"Y1","MICRO",1445.02,"1978"
"Y1","MICRO",1683.17,"1979"
"Y1","MICRO",2038.15,"1980"
"Y1","MICRO",2342.52,"1981"
"Y1","MICRO",2602.45,"1982"
"Y1","MICRO",2927.87,"1983"
"Y1","MICRO",3103.96,"1984"
"Y1","MICRO",3360.27,"1985"
"Y1","MICRO",3807.63,"1986"
"Y1","MICRO",4387.88,"1987"
"Y1","MICRO",4936.99,"1988"
"Y1","MICRO",5379.75,"1989"
"Y1","MICRO",6158.68,"1990"
"Y1","MICRO",6876.58,"1991"
"Y1","MICRO",7851.91,"1992"
"Y1","MICRO",8407.84,"1993"
"Y1","MICRO",9156.01,"1994"
"Y2","MICRO",1991.05,"1975"
"Y2","MICRO",2306.4,"1976"
"Y2","MICRO",2604,"1977"
"Y2","MICRO",2992.3,"1978"
"Y2","MICRO",3722.08,"1979"
"Y2","MICRO",5226.62,"1980"
"Y2","MICRO",5989.46,"1981"
"Y2","MICRO",5614.62,"1982"
"Y2","MICRO",5527,"1983"
"Y2","MICRO",5389.8,"1984"
"Y2","MICRO",5384.4,"1985"
"Y2","MICRO",3656.2,"1986"
"Y2","MICRO",4034.8,"1987"
"Y2","MICRO",4230,"1988"
"Y2","MICRO",4793.2,"1989"
"Y2","MICRO",5602,"1990"
"Y2","MICRO",5065,"1991"
"Y2","MICRO",5056,"1992"
"Y2","MICRO",5067.2,"1993"
"Y2","MICRO",5209.6,"1994"
"Y3","MICRO",1461.57,"1975"
"Y3","MICRO",1692.5,"1976"
"Y3","MICRO",2193.82,"1977"
"Y3","MICRO",2459.68,"1978"
"Y3","MICRO",3246.8,"1979"
"Y3","MICRO",4748.86,"1980"
"Y3","MICRO",5559.46,"1981"
"Y3","MICRO",5292.42,"1982"
"Y3","MICRO",5029.4,"1983"
"Y3","MICRO",4753.6,"1984"
"Y3","MICRO",4344.6,"1985"
"Y3","MICRO",2897.4,"1986"
"Y3","MICRO",3256.4,"1987"
"Y3","MICRO",3525.2,"1988"
"Y3","MICRO",3070.2,"1989"
"Y3","MICRO",3601.6,"1990"
"Y3","MICRO",3407.4,"1991"
"Y3","MICRO",3500.6,"1992"
"Y3","MICRO",3437.8,"1993"
"Y3","MICRO",3007,"1994"
"Y4","MICRO",744.54,"1975"
"Y4","MICRO",1105.16,"1976"
"Y4","MICRO",1417.4,"1977"
"Y4","MICRO",1838.04,"1978"
"Y4","MICRO",2337.62,"1979"
"Y4","MICRO",3094.88,"1980"
"Y4","MICRO",4280.04,"1981"
"Y4","MICRO",5070.2,"1982"
"Y4","MICRO",3675.18,"1983"
"Y4","MICRO",3667.38,"1984"
"Y4","MICRO",3808.64,"1985"
"Y4","MICRO",3114.42,"1986"
"Y4","MICRO",3847.2,"1987"
"Y4","MICRO",4632.3,"1988"
"Y4","MICRO",4656,"1989"
"Y4","MICRO",5228.52,"1990"
"Y4","MICRO",5656.72,"1991"
"Y4","MICRO",5077.02,"1992"
"Y4","MICRO",5403.4,"1993"
"Y4","MICRO",5009.52,"1994"
"Y5","MICRO",4977.18,"1975"
"Y5","MICRO",5248,"1976"
"Y5","MICRO",5370,"1977"
"Y5","MICRO",6184.89,"1978"
"Y5","MICRO",7137.19,"1979"
"Y5","MICRO",6743,"1980"
"Y5","MICRO",7298,"1981"
"Y5","MICRO",5260.29,"1982"
"Y5","MICRO",4898.18,"1983"
"Y5","MICRO",5392.04,"1984"
"Y5","MICRO",5117.64,"1985"
"Y5","MICRO",4332.9,"1986"
"Y5","MICRO",4620.5,"1987"
"Y5","MICRO",5488.8,"1988"
"Y5","MICRO",5250.9,"1989"
"Y5","MICRO",4899.2,"1990"
"Y5","MICRO",4317.9,"1991"
"Y5","MICRO",4007.9,"1992"
"Y5","MICRO",4323.4,"1993"
"Y5","MICRO",4819.4,"1994"
"Y6","MICRO",1458.05,"1975"
"Y6","MICRO",1931.53,"1976"
"Y6","MICRO",2315.78,"1977"
"Y6","MICRO",2573.11,"1978"
"Y6","MICRO",2916.61,"1979"
"Y6","MICRO",3018.94,"1980"
"Y6","MICRO",3107.36,"1981"
"Y6","MICRO",2912.45,"1982"
"Y6","MICRO",3450.89,"1983"
"Y6","MICRO",3816.85,"1984"
"Y6","MICRO",3737.22,"1985"
"Y6","MICRO",3739.97,"1986"
