date,ta,tb,tc
2020/1/1,194343,52737,51446
2020/1/2,207725,56149,54437
2020/1/3,179798,56113,54318
2020/1/4,196651,63549,62115
2020/1/5,206737,65993,64416
2020/1/6,209630,69012,66487
2020/1/7,241675,72691,69563
2020/1/8,233871,68816,66033
2020/1/9,251172,67686,65200
2020/1/10,214876,75079,72964
2020/1/11,212509,71691,69728
2020/1/12,208068,63646,61857
2020/1/13,212293,63653,61436
2020/1/14,209901,61239,59242
2020/1/15,207387,63266,61319
2020/1/16,212558,62945,60958
2020/1/17,196335,64896,62354
2020/1/18,188030,61999,60280
2020/1/19,181085,61980,60196
2020/1/20,160344,59180,57654
2020/1/21,167095,53974,52626
2020/1/22,113820,42272,41349
2020/1/23,123292,32910,32183
2020/1/24,37595,17305,17038
2020/1/25,41208,20378,20146
2020/1/26,54120,28322,28086
2020/1/27,68281,38295,38001
2020/1/28,73100,41113,40761
2020/1/29,87091,44521,44162
2020/1/30,92814,45324,44811
2020/1/31,88014,42724,42163
2020/2/1,99263,38943,38242
2020/2/2,131149,39511,38562
2020/2/3,107104,42456,41170
2020/2/4,154374,40229,38139
2020/2/5,268131,35391,34069
2020/2/6,326543,35193,34139
2020/2/7,269821,34837,33985
2020/2/8,952671,33865,33225
2020/2/9,237233,36994,36343
2020/2/10,282094,48589,47577
2020/2/11,139166,56992,55940
2020/2/12,151705,72196,71105
2020/2/13,160785,75621,74557
2020/2/14,185200,79093,78030
2020/2/15,158453,83093,82152
2020/2/16,171301,89427,88429
2020/2/17,218924,101617,100160
2020/2/18,888794,112633,110827
2020/2/19,236854,105495,103109
2020/2/20,225858,97906,95702
2020/2/21,230996,88904,86895
2020/2/22,194300,84283,82237
2020/2/23,188554,82123,80151
2020/2/24,217171,81648,79251
2020/2/25,221641,78625,74415
2020/2/26,185643,73511,70858
2020/2/27,198063,74382,68908
2020/2/28,208568,74120,71541
2020/2/29,198691,64969,62512
2020/3/1,180578,63157,60497
2020/3/2,189424,64795,61792
2020/3/3,182260,62744,59775
2020/3/4,175906,62321,59207
2020/3/5,531929,61635,58711
2020/3/6,194113,58544,55465
2020/3/7,194876,68906,65656
2020/3/8,244029,79777,76456
2020/3/9,241442,71821,68252
2020/3/10,246847,70943,64548
2020/3/11,191028,69420,66004
2020/3/12,185330,67125,63581
2020/3/13,191206,69839,66654
2020/3/14,178350,62197,59361
2020/3/15,166081,63664,60990
2020/3/16,217615,70490,66293
2020/3/17,199641,70322,67319
2020/3/18,199381,76425,73213
2020/3/19,251642,77394,74422
2020/3/20,175573,71015,68224
2020/3/21,169029,67297,64626
2020/3/22,158424,61948,58840
2020/3/23,178402,64320,61282
2020/3/24,161911,58350,55393
2020/3/25,160041,53299,50676
2020/3/26,160237,51289,48759
2020/3/27,149457,48493,45703
2020/3/28,135032,43581,41318
2020/3/29,130205,39883,37892
2020/3/30,135729,40608,37893
2020/3/31,132427,40306,37875
2020/4/1,139067,40871,38505
2020/4/2,134328,43758,41485
2020/4/3,135100,46955,44706
2020/4/4,133930,46099,44336
2020/4/5,124858,45711,42816
2020/4/6,128109,46716,44636
2020/4/7,142701,50264,47393
2020/4/8,135156,46404,44013
2020/4/9,122970,45026,42765
2020/4/10,131575,44970,42775
2020/4/11,121223,43631,41822
2020/4/12,117765,42783,41094
2020/4/13,130421,44934,42303
2020/4/14,122855,44296,42006
2020/4/15,125902,45657,43483
2020/4/16,133407,46767,44456
2020/4/17,128463,46603,44292
2020/4/18,126439,43658,41834
2020/4/19,127386,43181,41477
2020/4/20,135604,44103,41461
2020/4/21,130699,43969,41683
2020/4/22,130608,44259,41919
2020/4/23,133551,46410,44151
2020/4/24,135369,49142,46980
2020/4/25,133679,48753,46914
2020/4/26,142720,48683,46388
2020/4/27,140971,50129,48017
2020/4/28,148214,55035,52938
2020/4/29,155943,61668,59797
2020/4/30,154207,66006,64080
2020/5/1,154724,63612,61960
2020/5/2,163851,68312,66691
2020/5/3,179260,72165,70436
2020/5/4,181252,77724,75754
2020/5/5,190587,82906,80859
2020/5/6,222365,79649,75732
2020/5/7,188404,77984,75383
2020/5/8,186958,79441,76966
2020/5/9,185645,81900,79454
2020/5/10,181248,80656,78903
2020/5/11,172072,70243,67461
2020/5/12,171227,70082,67678
2020/5/13,168401,67644,65068
2020/5/14,167378,66643,64331
2020/5/15,165498,67987,65722
2020/5/16,150293,52283,50555
2020/5/17,152975,52210,50486
2020/5/18,166820,61770,58901
2020/5/19,172177,66381,63891
2020/5/20,172618,64127,61733
2020/5/21,178926,67599,65364
2020/5/22,169190,63769,61477
2020/5/23,163343,60543,58872
2020/5/24,160504,57001,55373
2020/5/25,159863,55872,53120
2020/5/26,151644,53699,51586
2020/5/27,158965,54529,52513
2020/5/28,155840,54514,52666
2020/5/29,148636,55313,53501
2020/5/30,141956,51726,50376
2020/5/31,142029,50047,48715
2020/6/1,309963,144854,142202
2020/6/2,275363,124142,121773
2020/6/3,250935,105525,103150
2020/6/4,224347,94463,92066
2020/6/5,233154,91192,88776
2020/6/6,230440,78156,76278
2020/6/7,208148,72354,70664
2020/6/8,235079,88632,85094
2020/6/9,219293,83229,80623
2020/6/10,215656,78955,76721
2020/6/11,214151,76098,74104
2020/6/12,208738,73449,71447
2020/6/13,193262,69538,67707
2020/6/14,187566,65588,64038
2020/6/15,229092,89197,87049
2020/6/16,262907,108284,105891
2020/6/17,242651,91377,87965
2020/6/18,256657,94999,92362
2020/6/19,227981,87664,84986
2020/6/20,205003,78413,76242
2020/6/21,195434,71963,69815
2020/6/22,201871,72729,69461
2020/6/23,183682,68066,64889
2020/6/24,174177,63826,61697
2020/6/25,156363,56246,54687
2020/6/26,160807,57207,55627
2020/6/27,165586,58655,57057
2020/6/28,168654,57755,54951
2020/6/29,166349,57207,54878
2020/6/30,161001,55290,53232
2020/7/1,169200,55537,53098
2020/7/2,153342,53601,51519
2020/7/3,160740,53169,51238
2020/7/4,149362,51402,49881
2020/7/5,144572,48181,46666
2020/7/6,145233,50181,47932
2020/7/7,150195,51380,49546
2020/7/8,142622,49129,47304
2020/7/9,140764,49338,47428
2020/7/10,142695,47496,45709
2020/7/11,134239,44292,42871
2020/7/12,132628,43844,42489
2020/7/13,136219,44715,42615
2020/7/14,136067,44581,42770
2020/7/15,138630,46459,44860
2020/7/16,135843,45607,43810
2020/7/17,134260,47142,45501
2020/7/18,128618,44258,42972
2020/7/19,133055,43496,42056
2020/7/20,143485,46438,44419
2020/7/21,150266,47664,45797
2020/7/22,156740,47554,45935
2020/7/23,151931,50774,49116
2020/7/24,153615,49731,48040
2020/7/25,130929,45836,44521
2020/7/26,133596,45438,44195
2020/7/27,168637,48592,46793
2020/7/28,147025,46910,45184
2020/7/29,143753,46414,44932
2020/7/30,142408,48396,46778
2020/7/31,162834,48000,46471
2020/8/1,143947,46851,45541
2020/8/2,145365,47627,46455
2020/8/3,179544,48856,47260
2020/8/4,152410,47150,45633
2020/8/5,151881,49854,48317
2020/8/6,156286,50187,48649
2020/8/7,154679,50022,48595
2020/8/8,184561,60538,59072
2020/8/9,194994,61010,59432
2020/8/10,179713,57832,56013
2020/8/11,179837,59179,57240
2020/8/12,184360,57563,55600
2020/8/13,173048,56106,54280
2020/8/14,172653,55236,53445
2020/8/15,160785,53917,52469
2020/8/16,160119,52850,51445
2020/8/17,288777,54684,53007
2020/8/18,195010,67669,66078
2020/8/19,242768,76696,74969
2020/8/20,210295,67985,66262
2020/8/21,216188,67407,65747
2020/8/22,206702,63253,61725
2020/8/23,232036,62019,60652
2020/8/24,217404,64185,62430
2020/8/25,193972,61566,59876
2020/8/26,209402,64761,63161
2020/8/27,216738,68056,66822
2020/8/28,203891,67600,66419
2020/8/29,205363,71111,70114
2020/8/30,206265,70802,69725
2020/8/31,212877,75476,74164
2020/9/1,211396,76895,75679
2020/9/2,218387,89397,88144
2020/9/3,195070,82271,81117
2020/9/4,178194,72649,71454
2020/9/5,177690,65806,64746
2020/9/6,179254,64161,63169
2020/9/7,176772,62110,60743
2020/9/8,187636,63804,62507
2020/9/9,189917,69827,68175
2020/9/10,181293,64082,62561
