date,ta,tb,tc
2021-01-01 00:00:00,1681,941,931
2021-01-01 01:00:00,462,454,452
2021-01-01 02:00:00,285,277,277
2021-01-01 03:00:00,171,169,168
2021-01-01 04:00:00,196,194,194
2021-01-01 05:00:00,206,203,203
2021-01-01 06:00:00,384,374,374
2021-01-01 07:00:00,1057,894,894
2021-01-01 08:00:00,2684,1746,1734
2021-01-01 09:00:00,9266,3354,3258
2021-01-01 10:00:00,12333,4385,4282
2021-01-01 11:00:00,12639,3954,3860
2021-01-01 12:00:00,10224,3587,3519
2021-01-01 13:00:00,10256,3032,2972
2021-01-01 14:00:00,13088,4036,3934
2021-01-01 15:00:00,12062,4539,4450
2021-01-01 16:00:00,12274,4935,4850
2021-01-01 17:00:00,11071,4477,4391
2021-01-01 18:00:00,10358,3702,3648
2021-01-01 19:00:00,10113,3572,3507
2021-01-01 20:00:00,11227,3847,3792
2021-01-01 21:00:00,10796,3595,3541
2021-01-01 22:00:00,6983,2728,2692
2021-01-01 23:00:00,4396,1819,1796
2021-01-02 00:00:00,1438,899,897
2021-01-02 01:00:00,364,357,353
2021-01-02 02:00:00,216,209,209
2021-01-02 03:00:00,188,184,184
2021-01-02 04:00:00,140,139,139
2021-01-02 05:00:00,189,186,186
2021-01-02 06:00:00,350,345,344
2021-01-02 07:00:00,940,826,826
2021-01-02 08:00:00,2195,1678,1664
2021-01-02 09:00:00,10006,3572,3482
2021-01-02 10:00:00,12569,4090,3963
2021-01-02 11:00:00,15284,4105,4012
2021-01-02 12:00:00,11033,3680,3604
2021-01-02 13:00:00,12425,3581,3500
2021-01-02 14:00:00,12645,3993,3897
2021-01-02 15:00:00,12036,4319,4226
2021-01-02 16:00:00,13336,6121,6026
2021-01-02 17:00:00,13296,5034,4953
2021-01-02 18:00:00,11490,4005,3928
2021-01-02 19:00:00,11075,4065,4015
2021-01-02 20:00:00,11088,3937,3876
2021-01-02 21:00:00,10830,3664,3621
2021-01-02 22:00:00,6343,2758,2723
2021-01-02 23:00:00,4965,1885,1854
2021-01-03 00:00:00,1438,893,889
2021-01-03 01:00:00,354,347,345
2021-01-03 02:00:00,233,230,230
2021-01-03 03:00:00,196,189,188
2021-01-03 04:00:00,161,157,156
2021-01-03 05:00:00,156,152,152
2021-01-03 06:00:00,388,384,384
2021-01-03 07:00:00,1013,881,881
2021-01-03 08:00:00,2342,1680,1667
2021-01-03 09:00:00,10535,3913,3809
2021-01-03 10:00:00,13097,4235,4150
2021-01-03 11:00:00,13887,4522,4431
2021-01-03 12:00:00,10654,3595,3532
2021-01-03 13:00:00,13904,3730,3649
2021-01-03 14:00:00,21778,4437,4327
2021-01-03 15:00:00,16964,4335,4210
2021-01-03 16:00:00,12967,4848,4701
2021-01-03 17:00:00,11656,4341,4253
2021-01-03 18:00:00,11993,4350,4283
2021-01-03 19:00:00,11189,3969,3917
2021-01-03 20:00:00,11914,4105,4048
2021-01-03 21:00:00,11759,3915,3865
2021-01-03 22:00:00,7617,3520,3468
2021-01-03 23:00:00,4474,1867,1845
2021-01-04 00:00:00,1243,763,762
2021-01-04 01:00:00,311,307,306
2021-01-04 02:00:00,207,201,200
2021-01-04 03:00:00,194,189,189
2021-01-04 04:00:00,142,140,140
2021-01-04 05:00:00,208,205,205
2021-01-04 06:00:00,452,444,444
2021-01-04 07:00:00,1015,957,957
2021-01-04 08:00:00,2080,1696,1666
2021-01-04 09:00:00,10295,3678,3565
2021-01-04 10:00:00,13763,4466,4320
2021-01-04 11:00:00,13235,4064,3990
2021-01-04 12:00:00,12370,3942,3869
2021-01-04 13:00:00,11852,3548,3436
2021-01-04 14:00:00,12208,4120,3974
2021-01-04 15:00:00,12703,4561,4418
2021-01-04 16:00:00,12073,4420,4269
2021-01-04 17:00:00,11006,4120,4024
2021-01-04 18:00:00,11405,4120,4022
2021-01-04 19:00:00,11508,4151,4082
2021-01-04 20:00:00,12669,4546,4456
2021-01-04 21:00:00,11784,3766,3713
2021-01-04 22:00:00,6706,2808,2772
2021-01-04 23:00:00,5526,1899,1870
2021-01-05 00:00:00,1369,734,727
2021-01-05 01:00:00,294,288,287
2021-01-05 02:00:00,196,192,192
2021-01-05 03:00:00,175,171,169
2021-01-05 04:00:00,112,111,111
2021-01-05 05:00:00,186,186,186
2021-01-05 06:00:00,458,447,447
2021-01-05 07:00:00,942,889,888
2021-01-05 08:00:00,2040,1654,1633
2021-01-05 09:00:00,10230,3588,3453
2021-01-05 10:00:00,13448,4244,4077
2021-01-05 11:00:00,14583,5657,5492
2021-01-05 12:00:00,11398,3948,3865
2021-01-05 13:00:00,11929,3543,3447
2021-01-05 14:00:00,13122,4076,3887
2021-01-05 15:00:00,12216,4486,4371
2021-01-05 16:00:00,13364,5358,5253
2021-01-05 17:00:00,11985,5045,4938
2021-01-05 18:00:00,12178,4563,4461
2021-01-05 19:00:00,12726,4567,4505
2021-01-05 20:00:00,12912,4664,4602
2021-01-05 21:00:00,10999,3768,3710
2021-01-05 22:00:00,7410,3015,2945
2021-01-05 23:00:00,5419,2103,2071
2021-01-06 00:00:00,1471,852,844
2021-01-06 01:00:00,361,361,361
2021-01-06 02:00:00,212,209,209
2021-01-06 03:00:00,160,158,158
2021-01-06 04:00:00,151,148,147
2021-01-06 05:00:00,227,218,218
2021-01-06 06:00:00,455,448,447
2021-01-06 07:00:00,1011,939,939
2021-01-06 08:00:00,2090,1768,1752
2021-01-06 09:00:00,10096,3609,3477
2021-01-06 10:00:00,13743,4115,3992
2021-01-06 11:00:00,14397,4165,4067
2021-01-06 12:00:00,11770,4080,4018
2021-01-06 13:00:00,11930,3708,3603
2021-01-06 14:00:00,12989,4293,4157
2021-01-06 15:00:00,12573,4497,4366
2021-01-06 16:00:00,13711,5188,5067
2021-01-06 17:00:00,11909,4526,4423
2021-01-06 18:00:00,13384,4426,4313
2021-01-06 19:00:00,12619,4226,4151
2021-01-06 20:00:00,13166,4622,4547
2021-01-06 21:00:00,12313,4227,4186
2021-01-06 22:00:00,8078,3229,3175
2021-01-06 23:00:00,4883,1951,1927
2021-01-07 00:00:00,1553,821,814
2021-01-07 01:00:00,334,326,326
2021-01-07 02:00:00,202,198,198
2021-01-07 03:00:00,154,148,148
2021-01-07 04:00:00,157,156,156
2021-01-07 05:00:00,187,186,186
2021-01-07 06:00:00,484,482,482
2021-01-07 07:00:00,947,927,927
2021-01-07 08:00:00,2082,1778,1767
2021-01-07 09:00:00,10760,3992,3874
2021-01-07 10:00:00,13711,4350,4218
2021-01-07 11:00:00,14352,4297,4184
2021-01-07 12:00:00,11649,4144,4092
2021-01-07 13:00:00,16880,3880,3784
2021-01-07 14:00:00,13539,4285,4139
2021-01-07 15:00:00,12861,4561,4403
2021-01-07 16:00:00,13747,4759,4631
2021-01-07 17:00:00,13099,4345,4190
2021-01-07 18:00:00,13026,5658,5568
2021-01-07 19:00:00,12080,4477,4410
2021-01-07 20:00:00,12708,4666,4594
2021-01-07 21:00:00,11909,4346,4283
2021-01-07 22:00:00,8668,3344,3296
2021-01-07 23:00:00,5101,1877,1847
2021-01-08 00:00:00,1499,898,880
2021-01-08 01:00:00,332,324,312
2021-01-08 02:00:00,177,176,165
2021-01-08 03:00:00,145,142,138
2021-01-08 04:00:00,149,148,142
2021-01-08 05:00:00,197,197,196
2021-01-08 06:00:00,501,496,496
2021-01-08 07:00:00,1027,1004,1004
2021-01-08 08:00:00,2147,1912,1895
2021-01-08 09:00:00,11021,4125,3983
2021-01-08 10:00:00,12869,4523,4381
2021-01-08 11:00:00,13463,4329,4218
2021-01-08 12:00:00,12061,4194,4127
2021-01-08 13:00:00,12470,4243,4123
2021-01-08 14:00:00,16321,4754,4586
2021-01-08 15:00:00,12567,4639,4485
2021-01-08 16:00:00,14380,6361,6200
2021-01-08 17:00:00,14599,6350,6211
2021-01-08 18:00:00,11751,4865,4773
2021-01-08 19:00:00,12245,4880,4802
2021-01-08 20:00:00,12471,4817,4738
2021-01-08 21:00:00,11286,4035,3991
2021-01-08 22:00:00,7670,3316,3269
2021-01-08 23:00:00,4683,2010,1976
2021-01-09 00:00:00,2011,1000,981
2021-01-09 01:00:00,409,403,401
2021-01-09 02:00:00,185,184,181
2021-01-09 03:00:00,197,197,194
2021-01-09 04:00:00,126,125,125
2021-01-09 05:00:00,235,232,232
2021-01-09 06:00:00,396,393,393
2021-01-09 07:00:00,1064,1039,1038
2021-01-09 08:00:00,2055,1953,1939
2021-01-09 09:00:00,10020,3896,3790
2021-01-09 10:00:00,13493,4536,4437
2021-01-09 11:00:00,13702,4416,4288
2021-01-09 12:00:00,11671,3980,3924
2021-01-09 13:00:00,13167,3769,3678
2021-01-09 14:00:00,14300,4335,4181
2021-01-09 15:00:00,13248,4531,4387
2021-01-09 16:00:00,13260,5068,4963
2021-01-09 17:00:00,15235,4666,4518
2021-01-09 18:00:00,13567,4659,4539
2021-01-09 19:00:00,12057,4288,4194
2021-01-09 20:00:00,12869,4593,4519
2021-01-09 21:00:00,11586,3957,3897
2021-01-09 22:00:00,7361,3071,3027
2021-01-09 23:00:00,4780,1975,1907
2021-01-10 00:00:00,2168,1244,1203
2021-01-10 01:00:00,464,462,430
2021-01-10 02:00:00,205,205,185
2021-01-10 03:00:00,188,186,176
2021-01-10 04:00:00,160,155,152
2021-01-10 05:00:00,181,177,176
2021-01-10 06:00:00,412,403,402
2021-01-10 07:00:00,1083,1058,1057
2021-01-10 08:00:00,2268,2011,1990
2021-01-10 09:00:00,10459,4050,3954
2021-01-10 10:00:00,13482,4702,4572
2021-01-10 11:00:00,14095,4730,4608
2021-01-10 12:00:00,12528,4257,4159
2021-01-10 13:00:00,13687,4732,4643
2021-01-10 14:00:00,15628,5798,5685
2021-01-10 15:00:00,17856,4741,4608
2021-01-10 16:00:00,14620,5107,4941
2021-01-10 17:00:00,12998,4957,4821
2021-01-10 18:00:00,12408,4769,4658
2021-01-10 19:00:00,13028,5153,5073
2021-01-10 20:00:00,12721,4786,4691
2021-01-10 21:00:00,12449,4392,4347
2021-01-10 22:00:00,7808,3496,3433
2021-01-10 23:00:00,4765,2110,2058
2021-01-11 00:00:00,1950,1279,1262
2021-01-11 01:00:00,492,488,484
2021-01-11 02:00:00,249,247,244
2021-01-11 03:00:00,215,215,215
2021-01-11 04:00:00,130,127,127
2021-01-11 05:00:00,207,204,204
2021-01-11 06:00:00,647,642,641
2021-01-11 07:00:00,1273,1246,1244
2021-01-11 08:00:00,2508,2209,2192
2021-01-11 09:00:00,10957,4253,4092
2021-01-11 10:00:00,14336,4823,4638
2021-01-11 11:00:00,14908,4722,4580
2021-01-11 12:00:00,13834,5363,5263
2021-01-11 13:00:00,13565,4273,4146
2021-01-11 14:00:00,14954,4897,4726
2021-01-11 15:00:00,13467,5128,4949
2021-01-11 16:00:00,14178,5894,5724
2021-01-11 17:00:00,13013,5448,5292
2021-01-11 18:00:00,17869,4646,4568
2021-01-11 19:00:00,12546,4617,4500
2021-01-11 20:00:00,13461,5020,4899
2021-01-11 21:00:00,13110,4743,4679
2021-01-11 22:00:00,7840,3516,3460
2021-01-11 23:00:00,5663,2426,2395
2021-01-12 00:00:00,2028,1133,1126
2021-01-12 01:00:00,460,456,455
2021-01-12 02:00:00,257,254,252
2021-01-12 03:00:00,218,217,215
2021-01-12 04:00:00,143,141,141
2021-01-12 05:00:00,217,215,214
2021-01-12 06:00:00,547,544,544
2021-01-12 07:00:00,1322,1286,1284
2021-01-12 08:00:00,2757,2309,2294
2021-01-12 09:00:00,11145,4473,4350
2021-01-12 10:00:00,14176,5023,4852
2021-01-12 11:00:00,16002,4690,4559
2021-01-12 12:00:00,16660,4599,4530
2021-01-12 13:00:00,14305,4610,4463
2021-01-12 14:00:00,13982,4905,4726
2021-01-12 15:00:00,13302,5216,5017
2021-01-12 16:00:00,13005,5090,4917
2021-01-12 17:00:00,12335,5137,5015
2021-01-12 18:00:00,13309,5106,5010
2021-01-12 19:00:00,12764,4925,4846
2021-01-12 20:00:00,13651,5398,5310
2021-01-12 21:00:00,12895,4826,4765
2021-01-12 22:00:00,8419,3740,3681
2021-01-12 23:00:00,5611,2237,2204
2021-01-13 00:00:00,1870,1216,1203
2021-01-13 01:00:00,458,449,448
2021-01-13 02:00:00,251,245,240
2021-01-13 03:00:00,230,228,226
2021-01-13 04:00:00,176,173,173
2021-01-13 05:00:00,407,407,407
2021-01-13 06:00:00,971,963,962
2021-01-13 07:00:00,1488,1460,1458
2021-01-13 08:00:00,2990,2526,2500
2021-01-13 09:00:00,11456,4752,4608
2021-01-13 10:00:00,14241,4895,4788
2021-01-13 11:00:00,14270,4950,4805
2021-01-13 12:00:00,13618,5192,5141
2021-01-13 13:00:00,13068,4293,4157
2021-01-13 14:00:00,13451,4763,4592
2021-01-13 15:00:00,13317,5007,4873
2021-01-13 16:00:00,13331,5050,4874
2021-01-13 17:00:00,16975,5664,5494
2021-01-13 18:00:00,13958,4778,4696
2021-01-13 19:00:00,13198,5129,5016
2021-01-13 20:00:00,14159,5302,5211
2021-01-13 21:00:00,12973,4930,4851
2021-01-13 22:00:00,8942,3773,3714
2021-01-13 23:00:00,5524,2393,2367
2021-01-14 00:00:00,1549,1083,1067
2021-01-14 01:00:00,473,466,459
2021-01-14 02:00:00,286,281,276
2021-01-14 03:00:00,175,171,167
2021-01-14 04:00:00,193,192,191
2021-01-14 05:00:00,271,270,270
2021-01-14 06:00:00,691,677,677
2021-01-14 07:00:00,1487,1454,1453
2021-01-14 08:00:00,2794,2522,2497
2021-01-14 09:00:00,11211,4691,4530
2021-01-14 10:00:00,14352,5049,4900
2021-01-14 11:00:00,14403,5093,4967
2021-01-14 12:00:00,12041,4475,4382
2021-01-14 13:00:00,12541,4714,4572
2021-01-14 14:00:00,12828,4605,4421
2021-01-14 15:00:00,22161,5812,5639
2021-01-14 16:00:00,13926,5093,4908
2021-01-14 17:00:00,13264,5314,5102
2021-01-14 18:00:00,12990,4826,4713
2021-01-14 19:00:00,12503,4887,4762
2021-01-14 20:00:00,13304,4964,4853
2021-01-14 21:00:00,12567,4382,4300
2021-01-14 22:00:00,8640,3476,3398
2021-01-14 23:00:00,5474,2277,2211
2021-01-15 00:00:00,1667,1116,1067
2021-01-15 01:00:00,351,348,320
2021-01-15 02:00:00,227,220,202
2021-01-15 03:00:00,196,196,188
2021-01-15 04:00:00,189,188,179
2021-01-15 05:00:00,379,377,372
2021-01-15 06:00:00,713,701,698
2021-01-15 07:00:00,1251,1234,1234
2021-01-15 08:00:00,2700,2311,2276
2021-01-15 09:00:00,11431,4615,4451
2021-01-15 10:00:00,13981,5423,5224
2021-01-15 11:00:00,14076,5364,5183
2021-01-15 12:00:00,12834,4490,4365
2021-01-15 13:00:00,12783,4139,3995
2021-01-15 14:00:00,14318,4951,4740
2021-01-15 15:00:00,13134,5371,5159
2021-01-15 16:00:00,14064,5407,5198
2021-01-15 17:00:00,20971,5209,5029
2021-01-15 18:00:00,13244,4673,4540
2021-01-15 19:00:00,11828,4798,4663
2021-01-15 20:00:00,12568,4596,4439
2021-01-15 21:00:00,12376,4570,4329
2021-01-15 22:00:00,8670,3550,3310
2021-01-15 23:00:00,5643,2652,2263
2021-01-16 00:00:00,2156,1648,1227
2021-01-16 01:00:00,826,818,514
2021-01-16 02:00:00,678,675,375
2021-01-16 03:00:00,537,530,227
2021-01-16 04:00:00,490,489,195
2021-01-16 05:00:00,473,469,181
2021-01-16 06:00:00,758,752,454
2021-01-16 07:00:00,1350,1344,1045
2021-01-16 08:00:00,2242,2057,2009
2021-01-16 09:00:00,10534,4419,4250
2021-01-16 10:00:00,14712,5408,5161
2021-01-16 11:00:00,20731,4875,4673
2021-01-16 12:00:00,15205,5006,4665
2021-01-16 13:00:00,13473,4425,4219
2021-01-16 14:00:00,14259,4719,4427
2021-01-16 15:00:00,14950,4922,4677
2021-01-16 16:00:00,17629,5165,4929
2021-01-16 17:00:00,12499,5080,4859
2021-01-16 18:00:00,13501,4703,4443
2021-01-16 19:00:00,12347,4767,4603
2021-01-16 20:00:00,12422,4567,4381
2021-01-16 21:00:00,12186,4151,3991
2021-01-16 22:00:00,8334,3405,3272
2021-01-16 23:00:00,5822,2462,2354
2021-01-17 00:00:00,2163,1523,1424
2021-01-17 01:00:00,617,611,534
2021-01-17 02:00:00,362,358,317
2021-01-17 03:00:00,320,318,301
2021-01-17 04:00:00,189,186,181
2021-01-17 05:00:00,223,222,220
2021-01-17 06:00:00,411,409,406
2021-01-17 07:00:00,1016,998,996
