date,goods_cnt
2018/1/1,42042
2018/1/2,53677
2018/1/3,51102
2018/1/4,54674
2018/1/5,62746
2018/1/6,44799
2018/1/7,49915
2018/1/8,42852
2018/1/9,38896
2018/1/10,40307
2018/1/11,45385
2018/1/12,40377
2018/1/13,57144
2018/1/14,55485
2018/1/15,51963
2018/1/16,45173
2018/1/17,51193
2018/1/18,32019
2018/1/19,36301
2018/1/20,41420
2018/1/21,40829
2018/1/22,39590
2018/1/23,37500
2018/1/24,30911
2018/1/25,41290
2018/1/26,23409
2018/1/27,48429
2018/1/28,65946
2018/1/29,56767
2018/1/30,33472
2018/1/31,32493
2018/2/1,32941
2018/2/2,32637
2018/2/3,38562
2018/2/4,39756
2018/2/5,32787
2018/2/6,42678
2018/2/7,40786
2018/2/8,42545
2018/2/9,46945
2018/2/10,45457
2018/2/11,39185
2018/2/12,34063
2018/2/13,34007
2018/2/14,33013
2018/2/15,35446
2018/2/16,37370
2018/2/17,39207
2018/2/18,58031
2018/2/19,56253
2018/2/20,46465
2018/2/21,52676
2018/2/22,42340
2018/2/23,39292
2018/2/24,43760
2018/2/25,41926
2018/2/26,38544
2018/2/27,37547
2018/2/28,39845
2018/3/1,38686
2018/3/2,5932
2018/3/3,50544
2018/3/4,58182
2018/3/5,39126
2018/3/6,40588
2018/3/7,42075
2018/3/8,35795
2018/3/9,34897
2018/3/10,44822
2018/3/11,48139
2018/3/12,42970
2018/3/13,42535
2018/3/14,43193
2018/3/15,50882
2018/3/16,47704
2018/3/17,61162
2018/3/18,59367
2018/3/19,45729
2018/3/20,49849
2018/3/21,38377
2018/3/22,32472
2018/3/23,33046
2018/3/24,38036
2018/3/25,36912
2018/3/26,34256
2018/3/27,35874
2018/3/28,40251
2018/3/29,39083
2018/3/30,30862
2018/3/31,51262
2018/4/1,49772
2018/4/2,39916
2018/4/3,33450
2018/4/4,34455
2018/4/5,35105
2018/4/6,38997
2018/4/7,53763
2018/4/8,59955
2018/4/9,50685
2018/4/10,52485
2018/4/11,58358
2018/4/12,41725
2018/4/13,35154
2018/4/14,34129
2018/4/15,29027
2018/4/16,32682
2018/4/17,34999
2018/4/18,34858
2018/4/19,39071
2018/4/20,40809
2018/4/21,47871
2018/4/22,50533
2018/4/23,50686
2018/4/24,39487
2018/4/25,34384
2018/4/26,34319
2018/4/27,32950
2018/4/28,39021
2018/4/29,41244
2018/4/30,39950
2018/5/1,45192
2018/5/2,47070
2018/5/3,47030
2018/5/4,49881
2018/5/5,66962
2018/5/6,55750
2018/5/7,41686
2018/5/8,39680
2018/5/9,38439
2018/5/10,35554
2018/5/11,35152
2018/5/12,44470
2018/5/13,50537
2018/5/14,45626
2018/5/15,45369
2018/5/16,44298
2018/5/17,49353
2018/5/18,43969
2018/5/19,46546
2018/5/20,44753
2018/5/21,38133
2018/5/22,37233
2018/5/23,37791
2018/5/24,39905
2018/5/25,44144
2018/5/26,53626
2018/5/27,54084
2018/5/28,48851
2018/5/29,52669
2018/5/30,47399
2018/5/31,47297
2018/6/1,46788
2018/6/2,53133
2018/6/3,53604
2018/6/4,50220
2018/6/5,39435
2018/6/6,35696
2018/6/7,35739
2018/6/8,35304
2018/6/9,40875
2018/6/10,44411
2018/6/11,38932
2018/6/12,44804
2018/6/13,45488
2018/6/14,43770
2018/6/15,42501
2018/6/16,27337
2018/6/17,50079
2018/6/18,43062
2018/6/19,44221
2018/6/20,48730
2018/6/21,55458
2018/6/22,51653
2018/6/23,47892
2018/6/24,54797
2018/6/25,36281
2018/6/26,43547
2018/6/27,44852
2018/6/28,38500
2018/6/29,39037
2018/6/30,65009
2018/7/1,65603
2018/7/2,51754
2018/7/3,50348
2018/7/4,53078
2018/7/5,53529
2018/7/6,53590
2018/7/7,65904
2018/7/8,51097
2018/7/9,37134
2018/7/10,37916
2018/7/11,37715
2018/7/12,40011
2018/7/13,41506
2018/7/14,40304
2018/7/15,57834
2018/7/16,51974
2018/7/17,45091
2018/7/18,49167
2018/7/19,51292
2018/7/20,43220
2018/7/21,53067
2018/7/22,52383
2018/7/23,44113
2018/7/24,43283
2018/7/25,46302
2018/7/26,38276
2018/7/27,37873
2018/7/28,41974
2018/7/29,40674
2018/7/30,33223
2018/7/31,34897
2018/8/1,33826
2018/8/2,38899
2018/8/3,40524
2018/8/4,48805
2018/8/5,49663
2018/8/6,44633
2018/8/7,38807
2018/8/8,44318
2018/8/9,42502
2018/8/10,47696
2018/8/11,57450
2018/8/12,61444
2018/8/13,46249
2018/8/14,37753
2018/8/15,19299
2018/8/16,33024
2018/8/17,32106
2018/8/18,39352
2018/8/19,46933
2018/8/20,42354
2018/8/21,41234
2018/8/22,35349
2018/8/23,46783
2018/8/24,35428
2018/8/25,34349
2018/8/26,26815
2018/8/27,33006
2018/8/28,32632
2018/8/29,34463
2018/8/30,34437
2018/8/31,40483
2018/9/1,48543
2018/9/2,48159
2018/9/3,46674
2018/9/4,52087
2018/9/5,40624
2018/9/6,43544
2018/9/7,42385
2018/9/8,53793
2018/9/9,52527
2018/9/10,36580
2018/9/11,35099
2018/9/12,34602
2018/9/13,27648
2018/9/14,33909
2018/9/15,41773
2018/9/16,43210
2018/9/17,37414
2018/9/18,37837
2018/9/19,38049
2018/9/20,39911
2018/9/21,38794
2018/9/22,42580
2018/9/23,42072
2018/9/24,35898
2018/9/25,35318
2018/9/26,35424
2018/9/27,35716
2018/9/28,39206
2018/9/29,46586
2018/9/30,47720
2018/10/1,40126
2018/10/2,29272
2018/10/3,44773
2018/10/4,38043
2018/10/5,38891
2018/10/6,43088
2018/10/7,41416
2018/10/8,33740
2018/10/9,36282
2018/10/10,37626
2018/10/11,37808
2018/10/12,39300
2018/10/13,47052
2018/10/14,48535
2018/10/15,43862
2018/10/16,42540
2018/10/17,26367
2018/10/18,26301
2018/10/19,21447
2018/10/20,41933
2018/10/21,44788
2018/10/22,37897
2018/10/23,38474
2018/10/24,37375
2018/10/25,38547
2018/10/26,40775
2018/10/27,39554
2018/10/28,43148
2018/10/29,41391
2018/10/30,44736
2018/10/31,43538
2018/11/1,44211
2018/11/2,44786
2018/11/3,47142
2018/11/4,42280
2018/11/5,33284
2018/11/6,32304
2018/11/7,4827
2018/11/8,6026
2018/11/9,5925
2018/11/10,44791
2018/11/11,49679
2018/11/12,42999
2018/11/13,41653
2018/11/14,50536
2018/11/15,37652
2018/11/16,36624
2018/11/17,41928
2018/11/18,36218
2018/11/19,37116
2018/11/20,37087
2018/11/21,35990
2018/11/22,36310
2018/11/23,35243
2018/11/24,35891
2018/11/25,59881
2018/11/26,56514
2018/11/27,45581
2018/11/28,43574
2018/11/29,42618
2018/11/30,36142
2018/12/1,41450
2018/12/2,41782
2018/12/3,34897
2018/12/4,42327
2018/12/5,44251
2018/12/6,44792
2018/12/7,46250
2018/12/8,51393
2018/12/9,47169
2018/12/10,40665
2018/12/11,42394
2018/12/12,39510
2018/12/13,38510
2018/12/14,38447
2018/12/15,47431
2018/12/16,58552
2018/12/17,53490
2018/12/18,56133
2018/12/19,53565
2018/12/20,52535
2018/12/21,51102
2018/12/22,55160
2018/12/23,57466
2018/12/24,55647
2018/12/25,6254
2018/12/26,44630
2018/12/27,45779
2018/12/28,47852
2018/12/29,59711
2018/12/30,55903
2018/12/31,45728
2019/1/1,36877
2019/1/2,42811
2019/1/3,45074
2019/1/4,48241
2019/1/5,55541
2019/1/6,57885
2019/1/7,48533
2019/1/8,48856
2019/1/9,52019
2019/1/10,54110
2019/1/11,53339
2019/1/12,65862
2019/1/13,63960
2019/1/14,50727
2019/1/15,41161
2019/1/16,40055
2019/1/17,35240
2019/1/18,33516
2019/1/19,38293
2019/1/20,41312
2019/1/21,38889
2019/1/22,43070
2019/1/23,46710
2019/1/24,47274
2019/1/25,49680
2019/1/26,27170
2019/1/27,50334
2019/1/28,37075
2019/1/29,37423
2019/1/30,35024
2019/1/31,34508
2019/2/1,36688
2019/2/2,45231
2019/2/3,49019
2019/2/4,40460
2019/2/5,43072
2019/2/6,47093
2019/2/7,44362
2019/2/8,37160
2019/2/9,42253
2019/2/10,40940
2019/2/11,31912
2019/2/12,33930
2019/2/13,34130
2019/2/14,36443
2019/2/15,39196
2019/2/16,46556
2019/2/17,50253
2019/2/18,44709
2019/2/19,43331
2019/2/20,35068
2019/2/21,33927
2019/2/22,32175
2019/2/23,38047
2019/2/24,38923
2019/2/25,34298
2019/2/26,37244
2019/2/27,41635
2019/2/28,41615
2019/3/1,40315
2019/3/2,51252
2019/3/3,52038
2019/3/4,50506
2019/3/5,35552
2019/3/6,34121
2019/3/7,32900
2019/3/8,33584
2019/3/9,39069
2019/3/10,41468
2019/3/11,40660
