date,type_a,type_b,sales_cnt
2015-12-26,36425,36827,73252
2015-12-27,34544,37851,72395
2015-12-28,49317,46108,95425
2015-12-29,41823,41846,83669
2015-12-30,39946,40041,79987
2015-12-31,37735,36301,74036
2016-01-01,28252,35467,63719
2016-01-02,29514,35016,64530
2016-01-03,30819,36921,67740
2016-01-04,42694,41608,84302
2016-01-05,39076,38414,77490
2016-01-06,37227,36051,73278
2016-01-07,37864,40935,78799
2016-01-08,37437,39700,77137
2016-01-09,29625,35348,64973
2016-01-10,30661,36609,67270
2016-01-11,40469,42664,83133
2016-01-12,41036,38959,79995
2016-01-13,38310,39366,77676
2016-01-14,36591,37941,74532
2016-01-15,34803,33438,68241
2016-01-16,29662,31008,60670
2016-01-17,31072,29975,61047
2016-01-18,42342,36464,78806
2016-01-19,41141,37503,78644
2016-01-20,42390,35241,77631
2016-01-21,38418,36394,74812
2016-01-22,37322,36214,73536
2016-01-23,33071,33565,66636
2016-01-24,32632,33826,66458
2016-01-25,43127,37532,80659
2016-01-26,46512,41237,87749
2016-01-27,45458,41060,86518
2016-01-28,41700,38789,80489
2016-01-29,44041,37571,81612
2016-01-30,38448,36441,74889
2016-01-31,38177,35157,73334
2016-02-01,51592,37709,89301
2016-02-02,47285,34238,81523
2016-02-03,43007,30282,73289
2016-02-04,35654,26603,62257
2016-02-05,28919,21520,50439
2016-02-06,20257,15676,35933
2016-02-07,4928,4962,9890
2016-02-08,2631,4258,6889
2016-02-09,3719,5401,9120
2016-02-10,4608,6570,11178
2016-02-11,9090,9853,18943
2016-02-12,11732,11448,23180
2016-02-13,14752,13983,28735
2016-02-14,27423,26083,53506
2016-02-15,31150,27404,58554
2016-02-16,30365,27215,57580
2016-02-17,29499,26686,56185
2016-02-18,29646,28028,57674
2016-02-19,28779,27241,56020
2016-02-20,25293,26208,51501
2016-02-21,24931,24445,49376
2016-02-22,30282,28199,58481
2016-02-23,30669,27211,57880
2016-02-24,30588,26916,57504
2016-02-25,29800,26425,56225
2016-02-26,28691,26560,55251
2016-02-27,27918,32098,60016
2016-02-28,28675,31818,60493
2016-02-29,35121,35037,70158
2016-03-01,35087,35725,70812
2016-03-02,34570,35632,70202
2016-03-03,32928,33756,66684
2016-03-04,31598,29525,61123
2016-03-05,25780,25837,51617
2016-03-06,25600,24995,50595
2016-03-07,37104,31852,68956
2016-03-08,33824,32499,66323
2016-03-09,31747,27528,59275
2016-03-10,31413,25920,57333
2016-03-11,33066,25835,58901
2016-03-12,29152,26111,55263
2016-03-13,27254,24981,52235
2016-03-14,34657,26627,61284
2016-03-15,32165,25470,57635
2016-03-16,31716,26982,58698
2016-03-17,29253,25460,54713
2016-03-18,30930,27751,58681
2016-03-19,25636,26773,52409
2016-03-20,26962,28900,55862
2016-03-21,39627,32033,71660
2016-03-22,35002,29695,64697
2016-03-23,32988,27246,60234
2016-03-24,31213,24888,56101
2016-03-25,29976,24766,54742
2016-03-26,23367,21144,44511
2016-03-27,22041,21466,43507
2016-03-28,30918,24519,55437
2016-03-29,27788,22390,50178
2016-03-30,27020,22665,49685
2016-03-31,25907,20998,46905
2016-04-01,26475,20392,46867
2016-04-02,20955,16445,37400
2016-04-03,19284,19488,38772
2016-04-04,20609,21584,42193
2016-04-05,32251,25344,57595
2016-04-06,29013,22487,51500
2016-04-07,27460,22838,50298
2016-04-08,25981,22409,48390
2016-04-09,23393,22643,46036
2016-04-10,23761,23254,47015
2016-04-11,32555,26077,58632
2016-04-12,29153,23513,52666
2016-04-13,28175,23094,51269
2016-04-14,26248,21779,48027
2016-04-15,24611,22010,46621
2016-04-16,20946,19034,39980
2016-04-17,20604,19704,40308
2016-04-18,39113,51755,90868
2016-04-19,45434,57736,103170
2016-04-20,41108,45799,86907
2016-04-21,36212,41041,77253
2016-04-22,37380,36689,74069
2016-04-23,33264,32915,66179
2016-04-24,36051,34277,70328
2016-04-25,48606,38226,86832
2016-04-26,43383,32523,75906
2016-04-27,39523,33151,72674
2016-04-28,35166,31107,66273
2016-04-29,31735,31580,63315
2016-04-30,24230,29905,54135
2016-05-01,21372,28802,50174
2016-05-02,24459,32175,56634
2016-05-03,35565,37026,72591
2016-05-04,32370,36460,68830
2016-05-05,31449,33716,65165
2016-05-06,29665,32334,61999
2016-05-07,25825,28168,53993
2016-05-08,24486,28845,53331
2016-05-09,33094,30832,63926
2016-05-10,31186,28046,59232
2016-05-11,30323,34436,64759
2016-05-12,30256,35257,65513
2016-05-13,28295,26386,54681
2016-05-14,23640,28072,51712
2016-05-15,24218,9939,34157
2016-05-16,34251,33503,67754
2016-05-17,31635,30709,62344
2016-05-18,29898,28957,58855
2016-05-19,33376,36935,70311
2016-05-20,37100,38293,75393
2016-05-21,29408,32233,61641
2016-05-22,27626,30655,58281
2016-05-23,39755,38411,78166
2016-05-24,34715,37023,71738
2016-05-25,33566,37665,71231
2016-05-26,31951,56586,88537
2016-05-27,31611,54714,86325
2016-05-28,26046,49412,75458
2016-05-29,25507,47628,73135
2016-05-30,34048,55255,89303
2016-05-31,30357,50730,81087
2016-06-01,33008,45847,78855
2016-06-02,32012,41831,73843
2016-06-03,29060,38032,67092
2016-06-04,25080,36727,61807
2016-06-05,25453,38782,64235
2016-06-06,31907,43386,75293
2016-06-07,29918,40872,70790
2016-06-08,28950,38003,66953
2016-06-09,20021,32122,52143
2016-06-10,22781,35022,57803
2016-06-11,25135,37353,62488
2016-06-12,31660,43051,74711
2016-06-13,29137,40616,69753
2016-06-14,27551,39730,67281
2016-06-15,27942,41882,69824
2016-06-16,42421,88939,131360
2016-06-17,35269,61001,96270
2016-06-18,31155,58361,89516
2016-06-19,32964,59046,92010
2016-06-20,46119,67291,113410
2016-06-21,45038,63584,108622
2016-06-22,42009,58250,100259
2016-06-23,38700,52465,91165
2016-06-24,35399,51644,87043
2016-06-25,27150,45882,73032
2016-06-26,26914,45365,72279
2016-06-27,34132,52262,86394
2016-06-28,30565,47235,77800
2016-06-29,28578,38912,67490
2016-06-30,29152,38476,67628
2016-07-01,29881,37638,67519
2016-07-02,23438,34117,57555
2016-07-03,22982,33814,56796
2016-07-04,29745,38862,68607
2016-07-05,27726,36567,64293
2016-07-06,25898,35253,61151
2016-07-07,25494,33855,59349
2016-07-08,23746,30144,53890
2016-07-09,20331,27674,48005
2016-07-10,23078,32285,55363
2016-07-11,27726,33629,61355
2016-07-12,25824,32650,58474
2016-07-13,25327,32938,58265
2016-07-14,26015,33569,59584
2016-07-15,25098,31380,56478
2016-07-16,21240,29312,50552
2016-07-17,21416,28307,49723
